,,longName,L.Year,Today,1Y,30 day,7 day,MA_15,Max Up_15,Max Down_15,Avg Volume_15,vs_30,Composite Score,Trend,Analysis,Portfolio,Amount
IDU,0,iShares U.S. Utilities ETF,78.59,81.71,3.98,-2.73,1.13,0.97,0.99,0.95,41793.33,0.24,0.12,Uptrend,Bull,,
RSPU,0,Invesco S&P 500 Equal Weight Utilities ETF,53.29,55.1,3.39,-3.08,0.55,0.97,0.99,0.94,44353.33,0.21,-0.07,Uptrend,Bull,,
FXU,0,First Trust Utilities AlphaDEX Fund,31.22,31.63,1.3,-3.31,0.08,0.96,0.99,0.94,120120.0,0.2,-0.22,Uptrend,Bull,,
XTL,0,SPDR S&P Telecom ETF,78.67,74.94,-4.75,0.34,-4.0,1.01,1.04,0.99,3413.33,-0.09,-0.34,Downtrend,Bear,,
GUNR,0,FlexShares Morningstar Global Upstream Natural Resources Index Fund,40.74,39.61,-2.78,-4.6,0.59,0.97,0.99,0.95,765486.67,0.13,-0.39,Uptrend,Bull,,
JXI,0,iShares Global Utilities ETF,55.39,57.49,3.8,-4.86,0.71,0.97,0.99,0.95,7966.67,0.13,-0.42,Uptrend,Bull,,
NANR,0,SPDR S&P North American Natural Resources ETF,50.55,50.47,-0.17,-5.97,1.65,0.97,0.99,0.93,25480.0,0.18,-0.44,Uptrend,Bull,,
PSCH,0,Invesco S&P SmallCap Health Care ETF,43.4,43.15,-0.57,-5.06,0.19,0.99,1.02,0.98,31266.67,0.07,-0.56,Uptrend,Bear,,
INFR,0,ClearBridge Sustainable Infrastructure ETF,23.15,23.99,3.62,-5.64,0.74,0.98,0.99,0.97,73.33,0.08,-0.57,Uptrend,Bull,,
ECLN,0,First Trust EIP Carbon Impact ETF,24.05,23.96,-0.39,-4.99,-0.41,0.98,0.99,0.96,3553.33,0.15,-0.66,Uptrend,Bull,,
RING,0,iShares MSCI Global Gold Miners ETF,20.25,23.65,16.78,-8.06,0.11,0.9,0.99,0.86,109280.0,0.13,-1.19,Uptrend,Bull,,
